year,stock_nominal,bond_nominal,inflation,stock_real,bond_real
1871,0.156448,0.051486,0.015270,0.139054,0.035670
1872,0.112347,0.038467,0.022555,0.087812,0.015562
1873,-0.024675,0.065574,-0.044121,0.020343,0.114757
1874,0.047129,0.087022,-0.069226,0.125008,0.167869
1875,0.053542,0.089795,-0.057856,0.118239,0.156718
1876,-0.141699,0.057916,0.008774,-0.149164,0.048715
1877,-0.013361,0.054125,-0.156525,0.169730,0.249740
1878,0.162533,0.053819,-0.103088,0.296151,0.174942
1879,0.494132,0.059091,0.206900,0.237992,-0.122470
1880,0.266867,0.067058,-0.057146,0.343652,0.131732
1881,0.003061,0.044148,0.080808,-0.071934,-0.033919
1882,0.036140,0.035994,-0.018687,0.055872,0.055723
1883,-0.054846,0.037723,-0.076198,0.023113,0.123317
1884,-0.123767,0.044986,-0.103088,-0.023055,0.165093
1885,0.298957,0.048132,-0.034484,0.345351,0.085566
1886,0.119400,0.022025,0.000000,0.119400,0.022025
1887,-0.006287,0.023647,0.047623,-0.051459,-0.022886
1888,0.032902,0.055418,-0.045458,0.082091,0.105680
1889,0.070646,0.037511,-0.047619,0.124178,0.089386
1890,-0.061584,0.018558,0.025000,-0.084472,-0.006285
1891,0.188833,0.038434,-0.060976,0.266030,0.105865
1892,0.061550,0.024512,0.077923,-0.015189,-0.049549
1893,-0.187969,0.042207,-0.132531,-0.063908,0.201434
1894,0.035553,0.057374,-0.041666,0.080576,0.103346
1895,0.049586,0.023801,0.014492,0.034592,0.009176
1896,0.032194,0.053076,-0.028571,0.062553,0.084049
1897,0.203732,0.038648,0.029412,0.169340,0.008973
1898,0.293421,0.054893,0.014286,0.275203,0.040035
1899,0.036805,0.027307,0.169014,-0.113095,-0.121220
1900,0.209518,0.036114,-0.024097,0.239383,0.061699
1901,0.194644,0.024837,0.024692,0.165856,0.000141
1902,0.082884,0.022413,0.096386,-0.012315,-0.067469
1903,-0.170872,0.025321,-0.043956,-0.132752,0.072462
1904,0.321017,0.028007,0.022983,0.291338,0.004911
